,pick,mp,oreb,dreb,treb,ast,stl,blk,pts
34002,,30.6562,1.625,3.5312,5.1562,1.0312,0.75,0.6562,15.9062
34003,,32.2069,3.4828,7.1379,10.6207,0.8276,1.3793,0.7586,14.4483
34009,,30.1818,0.6061,2.3939,3.0,2.8485,1.1818,0.0303,13.4545
34013,,31.0833,0.4167,1.8333,2.25,3.25,0.8333,0.0833,11.0
34020,,38.5357,0.7857,2.0714,2.8571,5.6786,1.2143,0.0357,11.1786
34035,,31.4,0.7429,3.0857,3.8286,2.1714,1.0286,0.1714,7.4857
34037,,35.6897,1.4483,5.6897,7.1379,2.3103,0.9655,0.6552,15.8966
34040,,30.7,1.5333,4.1667,5.7,4.5,1.1667,0.1667,9.5667
34064,,32.3333,0.7,3.5667,4.2667,3.0333,1.7,0.1333,18.2
34066,11.0,32.0571,3.0286,8.8,11.8286,1.8,0.6,0.8857,17.4857
34067,,30.9429,0.6286,2.7143,3.3429,3.9429,1.2286,0.2857,10.3429
34084,,32.2188,0.625,2.5,3.125,2.2812,1.2188,0.1562,13.8438
34109,,34.625,2.0312,4.5625,6.5938,2.2188,0.5625,1.0,15.4062
34112,,34.5806,1.0,2.2258,3.2258,4.2903,1.4839,0.0968,23.5806
34119,,30.25,1.125,3.5938,4.7188,1.5,1.5312,0.5,10.8438
34140,,30.6129,0.4516,4.2258,4.6774,3.9355,1.1935,0.1613,10.0
34154,,31.0606,1.4242,4.6061,6.0303,2.2424,1.5152,0.4848,17.7273
34158,,30.1515,0.5455,4.7576,5.303,3.2424,0.8485,0.4545,9.5152
34174,,30.75,0.9375,2.9062,3.8438,2.625,1.1875,0.0938,11.25
34177,,32.0938,1.3438,4.8438,6.1875,1.3438,1.125,0.2812,14.7188
34178,,31.6452,0.5484,1.7742,2.3226,3.129,1.2258,0.0,11.2581
34179,,32.6552,1.0345,4.7241,5.7586,1.3103,1.0345,0.4828,11.7586
34190,,33.9677,0.4839,2.1935,2.6774,3.7419,1.0,0.0323,14.4839
34193,,34.0769,0.1923,3.2692,3.4615,3.5,1.3846,0.2308,22.1923
34195,,31.8824,1.3824,2.5882,3.9706,2.7647,1.2647,0.3529,10.9412
34207,,31.7931,0.4483,2.3103,2.7586,3.7241,1.1724,0.1034,9.6552
34210,,30.5185,0.1481,1.8148,1.963,1.1481,1.037,0.0,11.037
34221,34.0,32.6757,0.3514,3.0,3.3514,3.7027,1.4324,0.1351,11.1622
34246,58.0,31.0857,0.7429,4.2286,4.9714,1.5429,1.0571,0.6857,12.9143
34249,,32.8286,2.2,4.6286,6.8286,0.9714,0.6857,1.3429,11.4286
34251,,32.5806,1.0645,3.0,4.0645,2.3226,1.0,0.4839,10.1935
34257,,35.3103,0.4828,3.069,3.5517,1.4138,0.2414,0.1724,16.0345
34265,,32.8387,0.3548,2.3226,2.6774,3.4516,0.9677,0.1935,14.4194
34270,,37.7778,1.6667,5.5556,7.2222,3.2222,0.7778,0.5556,20.5556
34278,,37.5,0.7667,2.9,3.6667,5.0,1.3333,0.3,17.9
34287,,32.7241,0.069,2.3448,2.4138,2.8276,0.8621,0.0345,12.1034
34290,,37.5333,0.5667,4.3667,4.9333,2.9333,1.7,0.0,23.1333
34293,,31.0833,0.5417,1.9583,2.5,2.2917,1.1667,0.0,12.3333
34300,,33.9697,1.0303,1.7879,2.8182,1.7879,1.0909,0.0606,14.0909
34304,51.0,34.2286,2.6857,4.9714,7.6571,1.1429,0.8571,1.0286,21.0857
34308,,34.3667,1.5667,5.3667,6.9333,1.2333,0.8667,0.1333,16.9667
34313,,32.4074,0.4444,2.8148,3.2593,1.8519,0.7778,0.0741,12.7778
34315,,32.5312,0.7812,3.6562,4.4375,1.5625,0.8125,0.2188,14.8125
34325,,35.6429,0.3929,3.2143,3.6071,3.0357,1.3214,0.4643,11.2857
34340,,34.4074,0.5185,2.037,2.5556,2.5185,0.8519,0.037,14.2222
34342,,32.8182,0.303,2.303,2.6061,2.0303,0.3939,0.0,11.7879
34347,,30.9688,0.5312,2.4688,3.0,1.9688,0.7812,0.0938,12.25
34352,,33.0667,2.0333,5.0667,7.1,2.5333,1.3,0.3333,15.3
34365,,32.3571,1.3571,6.3214,7.6786,1.25,0.6429,0.5,16.3571
34374,,32.8621,1.0,3.4483,4.4483,2.0,1.2414,0.3448,16.1379
34397,,31.6923,0.7692,2.3077,3.0769,1.9615,0.5769,0.1154,10.0769
34405,9.0,30.6,2.8286,6.2286,9.0571,1.9143,0.6,1.5143,17.2857
34409,,31.3333,0.4667,3.9667,4.4333,2.2333,0.7,0.1667,9.7333
34411,,30.4,0.3,2.55,2.85,1.6,1.25,0.1,13.1
34412,,37.9091,0.7273,3.6667,4.3939,7.1212,1.6061,0.5152,17.8485
34416,,31.3103,1.3103,3.6897,5.0,2.069,0.7931,0.4138,14.931
34422,,30.8529,0.4412,2.7059,3.1471,2.4706,1.1765,0.1176,14.0882
34424,,31.7308,0.6154,2.4231,3.0385,1.7692,0.7692,0.1154,11.0
34433,,34.2903,0.7419,2.129,2.871,5.9677,1.4194,0.1613,11.2258
34436,57.0,30.5333,2.2667,7.8,10.0667,2.8667,0.6667,0.8,18.4
34448,,30.4474,2.0,5.6053,7.6053,1.2105,0.5526,0.2632,16.7895
34454,,30.3636,3.4242,5.3636,8.7879,2.1212,1.2424,1.4848,10.4242
34457,,34.2903,0.9355,2.8065,3.7419,4.7097,1.0968,0.129,12.5806
34459,,33.5625,0.8438,3.9062,4.75,2.6875,1.6562,0.125,14.4688
34465,,34.7692,0.0769,3.5,3.5769,2.7692,0.7692,0.0385,15.6538
34466,,30.7333,3.2667,5.3,8.5667,0.6,0.5333,1.1667,16.4
34472,,30.6897,2.6207,3.5172,6.1379,1.3448,0.7586,0.3103,13.2069
34477,,33.5667,0.4333,3.2,3.6333,2.5333,0.6333,0.0,16.7
34489,,33.6875,2.0312,5.375,7.4062,1.0312,0.5938,1.2188,16.8438
34499,,32.0741,2.0,4.8519,6.8519,2.0741,1.037,0.4444,14.6296
34507,,35.0,1.9091,3.2424,5.1515,1.4242,0.8788,0.2424,15.8182
34510,,36.4242,0.1515,1.6364,1.7879,1.4848,0.697,0.0909,12.4242
34512,42.0,32.2941,0.5294,3.0588,3.5882,5.0882,1.1765,1.4412,18.1765
34524,56.0,32.0278,0.9167,8.0,8.9167,4.7222,1.0556,0.4167,12.5278
34533,,34.5833,0.375,4.4167,4.7917,1.7083,0.75,0.2917,15.625
34563,,32.7273,1.0,3.5455,4.5455,4.4545,0.9697,0.1212,10.1212
34564,,34.0303,1.7576,3.3636,5.1212,4.3333,1.0,0.303,15.2424
34565,,31.8485,1.5758,4.0909,5.6667,0.8788,0.4545,0.1515,15.6061
34571,34.0,36.8,0.5429,2.4571,3.0,7.0286,1.4571,0.1143,17.3143
34576,,34.1333,1.5667,4.9,6.4667,1.4667,0.7667,0.2,17.5333
34577,,35.3939,0.3939,3.8182,4.2121,4.5455,1.1212,0.2121,12.1212
34581,,31.1515,0.9091,3.1515,4.0606,6.2121,1.697,0.1212,12.4848
34583,,30.9355,0.6452,3.5806,4.2258,1.3548,1.2581,0.2258,14.7742
34584,,30.6471,1.4412,4.7059,6.1471,2.1765,0.9118,0.3235,15.0588
34591,,30.3871,2.9355,5.1613,8.0968,2.3226,0.6129,0.5806,16.3226
34592,,34.871,0.5484,3.4516,4.0,1.5484,0.5484,0.4516,12.5806
