pick,player_name,oreb,dreb,treb,ast,stl,blk,pts
,Jeremy Wilson,1.2759,1.069,2.3448,0.2414,0.3103,0.6552,4.4828
,Patrick Behan,1.2667,3.2333,4.5,0.6667,0.4,0.0667,9.0
,Robin Smeulders,2.2667,3.9333,6.2,1.2,0.4333,0.4,12.3
,Preston David,0.6957,0.3913,1.087,0.1304,0.2174,0.5217,1.3913
,Adam Waddell,1.5185,4.0,5.5185,0.3704,0.5556,0.7778,9.5926
,Adam Fletcher,1.8333,2.6667,4.5,0.6,0.4333,0.5,6.5667
15.0,Larry Sanders,3.0286,6.0857,9.1143,0.9714,0.7429,2.5714,14.3714
,Chas McFarland,2.2903,4.6774,6.9677,0.8065,0.4516,1.1613,7.1935
,Matt Pilgrim,1.7667,4.9333,6.7,0.6,0.8667,0.7333,8.2333
,Matt Maden,0.5714,0.7143,1.2857,0.0714,0.1429,0.2857,1.6429
,Auryn MacMillan,1.875,2.0417,3.9167,0.4167,0.3333,0.875,6.75
,Zach Finley,1.1333,2.1667,3.3,0.7333,0.8,0.5667,4.8333
,Claude Britten,1.0303,1.0909,2.1212,0.2121,0.1515,0.5455,4.8788
,Wayne Portalatin,0.4,0.55,0.95,0.1,0.15,0.3,1.0
,David Safstrom,0.2667,0.8667,1.1333,0.0667,0.0667,0.1333,0.4667
,Boubacar Sylla,0.9259,1.9259,2.8519,0.0741,0.2222,0.9259,2.5926
,Will Hudson,2.7576,2.1818,4.9394,0.5152,0.7576,0.5152,5.8182
,Will Martell,1.8333,2.9722,4.8056,0.6389,0.3889,1.1944,7.5
46.0,Gani Lawal,3.0,5.5714,8.5714,0.4286,0.4571,1.4,13.1429
,Suleiman Braimoh,2.3,1.5,3.8,0.5333,0.4333,0.4667,4.7
,Luis Colon,1.5714,2.2143,3.7857,0.4286,0.3929,0.5357,2.8929
,Jason Love,3.3429,5.3714,8.7143,0.8286,0.4286,1.4286,11.7714
,Marcus Kitts,2.7742,3.5806,6.3548,1.3226,0.4194,1.0323,6.9355
,Justin Dobbins,2.56,3.32,5.88,0.96,0.88,0.96,12.08
,Anthony Johnson,4.6471,5.1765,9.8235,0.5,1.2059,2.4118,16.0588
,Jamal Boykin,2.2286,4.4857,6.7143,1.1714,0.8286,0.3714,11.9143
,Ousmane Cisse,2.1034,4.7241,6.8276,1.1724,0.7241,0.4828,5.4138
,Steven Hess,1.069,2.5862,3.6552,1.2069,0.3793,0.3103,4.4828
41.0,Jarvis Varnado,2.9722,7.2778,10.25,0.8889,0.6667,4.7222,13.7778
,Todd O'Brien,2.3548,3.9677,6.3226,0.5161,0.9677,0.9677,5.5806
,Jerai Grant,2.4194,2.2903,4.7097,0.6129,0.8065,1.7419,7.1935
,Chris Miles,1.0,2.3429,3.3429,0.9429,0.3714,0.5143,4.2286
,Jawaan Alston,1.5217,2.087,3.6087,0.8696,0.3043,0.1739,4.1304
,Mouhamed Lo,1.4444,3.3889,4.8333,0.1667,0.3889,0.6667,5.9444
,Matthew Bryan-Amaning,2.0833,3.8611,5.9444,0.4444,1.0278,1.5,8.8333
,Eli Holman,2.9667,5.7667,8.7333,0.7667,0.4667,2.3667,11.7667
,Jeff Foote,2.3125,5.7812,8.0938,2.4062,0.5312,1.9688,11.9062
,Perry Stevenson,0.3824,1.0294,1.4118,0.2059,0.1176,0.5882,1.2941
,Brandon Moore,1.6071,5.4643,7.0714,0.5357,0.5,0.75,8.1429
,Georges Fotso,0.5,0.35,0.85,0.05,0.05,0.05,0.7
,James Granstra,1.2222,3.6296,4.8519,0.5926,0.2963,2.4074,6.5185
,Aaron Ellis,0.9118,1.9706,2.8824,0.3529,0.2941,0.2941,3.4118
,Denzel Bowles,3.2,6.0,9.2,2.48,0.52,1.44,20.8
,Malcolm Thomas,2.625,5.0,7.625,2.3125,0.8125,1.5,10.4688
,Ray Hall,0.5455,0.5455,1.0909,0.0,0.0909,0.0,1.1818
,Modou Niang,0.45,0.95,1.4,0.15,0.05,0.55,2.35
30.0,Festus Ezeli,0.9355,2.1935,3.129,0.0968,0.1935,1.2903,3.7419
,Tom Pritchard,1.6452,1.8065,3.4516,0.4516,0.4839,0.5806,4.2258
,Mitchell Watt,0.7931,1.7241,2.5172,0.6552,0.4828,1.2414,5.4828
,Emerson Herndon,0.3478,0.7391,1.087,0.087,0.1739,0.1739,1.913
,Isaiah Rhine,0.3333,0.8889,1.2222,0.037,0.1852,0.1852,2.0
,Da'Quan Cook,0.8,1.6667,2.4667,0.3667,0.2,0.1333,2.7667
,Pierre Henderson-Niles,2.2609,2.913,5.1739,0.087,0.6087,0.8261,5.1739
,Justin Maneri,0.3684,1.2105,1.5789,0.1053,0.1579,0.0526,2.3684
,JaMychal Green,2.7742,4.3871,7.1613,1.0645,0.871,1.6774,14.129
51.0,Magnum Rolle,3.5294,4.8824,8.4118,0.8235,0.7647,2.0882,13.8529
,Mark Engen,0.8095,1.2381,2.0476,0.1429,0.2857,0.619,2.7619
,Cameron Witt,0.5185,0.8889,1.4074,0.4074,0.037,0.2593,1.5926
,Pat Bergmann,0.3913,0.3913,0.7826,0.087,0.0,0.0435,1.1739
,Dominique Mpondo,1.3,2.0,3.3,0.1,0.2,0.85,1.8
45.0,Justin Hamilton,2.6774,2.7097,5.3871,0.3226,0.2581,1.0645,6.3548
,Josh Crawford,0.8387,1.7742,2.6129,0.2903,0.2903,1.0323,3.8065
