,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4930,Joseph Harris,Coastal Carolina,BSth,31,80.3,112.1,21.7,52.2,54.53,10.2,22.2,8.8,12.9,79,123,0.642,170,327,0.52,3,7,0.429,3.2,3.1,36.8,Sr,5-Jun,0,2.7895,109.525,2.9,2010,1075,all,,0.91491322,124.0,185.0,46.0,142.0,0.6703,0.3239,8.0,9.0,0.8889,,85.2041,90.1988,4.04766,246.408,3.90834,0.82749,3.08085,4.14407,32.129,2.26641,1.87765,2.8065,6.7419,9.5484,1.3871,1.6774,0.9677,13.8065,Wing F,0.416541
4937,Jack Eggleston,Penn,Ivy,28,89.5,103.4,20.5,48.8,53.12,5.9,17.0,14.1,16.1,73,94,0.777,115,236,0.487,20,61,0.328,2.4,1.2,31.6,Jr,8-Jun,24,2.30124,103.036,2.8,2010,1084,all,13.8,1.0370217,73.0,103.0,42.0,133.0,0.7087,0.3158,21.0,21.0,1.0,,110.076,111.274,1.89142,168.843,-1.15342,-0.132367,-1.02105,-0.480361,36.1071,1.09832,-1.57868,1.7143,4.7143,6.4286,2.0,0.7143,0.75,12.9643,Wing F,3.71279
4961,Stanley Robinson,Connecticut,BE,34,85.6,107.8,20.4,55.9,57.03,8.9,14.6,6.6,18.8,61,97,0.629,176,308,0.571,27,79,0.342,3.2,1.5,25.1,Sr,9-Jun,21,3.5357,114.267,1.8,2010,1137,all,96.6,0.4415596,114.0,144.0,59.0,156.0,0.7917,0.3782,66.0,72.0,0.9167,59.0,97.9225,91.5023,4.15816,216.486,4.35656,2.40491,1.95164,5.11332,34.2353,3.68964,1.42368,2.6765,4.9706,7.6471,1.0,0.8824,1.2059,14.5294,Wing F,3.93002
4965,Derick Nelson,Oakland,Sum,33,73.4,103.7,21.6,49.1,50.7,10.0,13.4,6.6,15.6,69,121,0.57,107,237,0.451,39,100,0.39,0.2,1.3,35.9,Sr,5-Jun,1,2.08449,104.963,2.5,2010,1164,all,,0.55171826,83.0,153.0,24.0,84.0,0.5425,0.2857,2.0,2.0,1.0,,105.601,105.737,2.1161,154.066,-0.132376,1.86166,-1.99403,0.253094,29.3636,2.36485,-2.11175,2.697,3.4848,6.1818,0.9697,0.6667,0.0606,12.1212,Wing F,5.80798
4971,Chris Lewis,San Diego,WCC,30,69.6,116.5,14.0,57.6,59.19,7.1,18.9,6.9,13.2,33,49,0.673,49,94,0.521,33,77,0.429,1.3,2.5,28.7,Sr,7-Jun,12,2.20408,107.324,3.7,2010,1199,all,,1.0,26.0,46.0,23.0,48.0,0.5652,0.4792,0.0,0.0,,,100.927,97.9046,2.76239,156.276,4.27797,2.07452,2.20345,3.02839,28.0667,1.61583,1.41256,1.6333,4.0333,5.6667,0.8333,1.1333,0.3,7.6667,Wing F,5.72029
4976,Cedric Latimer,St. Francis PA,NEC,30,56.8,103.1,20.8,55.2,57.5,5.2,9.4,12.1,20.1,39,54,0.722,50,99,0.505,44,111,0.396,1.6,0.9,25.7,Jr,5-Jun,40,1.33569,101.458,6.0,2010,1221,all,,0.68085785,29.0,46.0,21.0,53.0,0.6304,0.3962,8.0,8.0,1.0,,110.44,115.985,0.828845,97.3817,-2.8333,0.355348,-3.18865,-3.34674,22.8,-0.490624,-2.85611,0.9667,1.7,2.6667,1.0667,0.3333,0.3,9.0333,Wing F,9.90355
4977,Ramon Harris,Kentucky,SEC,36,25.7,89.9,13.4,37.9,43.13,8.8,11.5,9.1,27.7,20,33,0.606,16,31,0.516,5,31,0.161,1.3,1.6,53.2,Sr,7-Jun,5,-0.014858,84.1094,2.7,2010,1225,all,56.2,0.88465799,13.0,17.0,3.0,12.0,0.7647,0.25,7.0,7.0,1.0,,95.4969,91.1313,1.32954,68.7503,2.52743,0.332716,2.19471,0.889844,10.9444,-0.993099,1.88294,0.8333,1.25,2.0833,0.6389,0.3056,0.1389,1.8611,Wing F,4.42184
4982,Lazar Trifunovic,Radford,BSth,26,68.3,86.7,25.5,44.7,46.92,7.3,19.0,16.6,24.8,48,77,0.623,130,291,0.447,7,23,0.304,0.6,1.2,24.5,Jr,8-Jun,12,0.471192,88.9649,2.3,2010,1237,all,,0.68131426,70.0,110.0,60.0,181.0,0.6364,0.3315,5.0,7.0,0.7143,,95.3218,99.7505,2.82647,163.437,-3.27213,-3.9441,0.671974,-3.78015,30.8846,-3.01606,-0.764093,2.1538,5.8846,8.0385,2.3846,0.6538,0.1923,12.6538,Wing F,1.5976
4983,Jeff Smith,Chattanooga,SC,27,19.6,91.1,17.6,46.6,49.55,4.5,10.7,5.7,19.8,19,33,0.576,17,35,0.486,7,24,0.292,1.1,0.2,55.9,Jr,5-Jun,14,0.0618355,86.4848,6.4,2010,1246,all,39.0,0.46670266,9.0,18.0,8.0,17.0,0.5,0.4706,2.0,3.0,0.6667,,108.262,107.865,0.582123,38.5584,-6.1388,-3.39552,-2.74328,-6.56665,9.0,-4.264,-2.30265,0.3704,0.8889,1.2593,0.2593,0.037,0.0741,2.7407,Wing F,5.55712
4984,Brandon Giles,Western Carolina,SC,31,65.2,99.0,24.1,46.9,49.93,4.4,14.1,8.8,16.3,58,79,0.734,92,211,0.436,45,129,0.349,2.7,2.1,23.2,Sr,6-Jun,1,1.66639,102.907,5.0,2010,1247,all,,0.60714088,42.0,76.0,50.0,135.0,0.5526,0.3704,4.0,5.0,0.8,,102.103,102.304,2.19155,148.578,-1.07979,-0.435189,-0.644599,-0.356104,26.0968,0.516534,-0.872638,1.0645,2.9677,4.0323,1.0968,0.9677,0.5484,12.1613,Wing F,9.0257
