,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4829,Phil Jones,Charlotte,A10,31,43.4,101.4,18.0,41.8,47.2,10.5,15.4,6.3,14.7,44,63,0.698,57,134,0.425,3,13,0.231,12.5,0.7,42.9,Jr,10-Jun,5,1.02294,101.47,6.0,2010,769,all,79.2,0.67997517,29.0,48.0,28.0,86.0,0.6042,0.3256,8.0,9.0,0.8889,,97.7116,95.8765,1.84672,118.242,4.91101,-0.857299,5.76831,1.87212,17.5161,-1.08399,2.9561,1.7097,2.6129,4.3226,0.5484,0.2258,2.0968,5.3871,C,1.37082
4832,Liam Potter,Sacred Heart,NEC,29,67.9,94.7,21.2,50.5,51.65,13.0,21.8,5.7,23.6,70,133,0.526,103,204,0.505,0,0,0.0,7.1,0.6,65.2,Sr,Jul-00,32,0.749449,92.4572,4.5,2010,774,all,,0.34286188,88.0,160.0,15.0,44.0,0.55,0.3409,35.0,39.0,0.8974,,100.925,107.566,1.78483,162.307,-3.1163,-3.57149,0.455185,-4.1388,27.2759,-2.71791,-1.42089,3.2759,5.0345,8.3103,0.8276,0.2759,2.0,9.5172,C,0.0
4846,Marko Spica,Central Michigan,MAC,28,39.1,84.0,30.6,49.0,52.83,9.7,15.2,8.2,31.7,56,89,0.629,72,147,0.49,0,0,0.0,2.2,1.1,60.5,Jr,9-Jun,,0.530961,93.9418,6.5,2010,816,all,,0.1971842,43.0,71.0,29.0,76.0,0.6056,0.3816,3.0,3.0,1.0,,101.372,103.871,1.27347,72.7951,-7.92646,-6.13945,-1.787,-7.14745,16.2143,-5.13484,-2.01262,1.3571,1.9286,3.2857,0.5,0.2857,0.2857,7.1429,C,0.0
4852,Dexter Pittman,Texas,B12,34,47.1,113.1,24.4,65.4,63.82,16.6,15.3,5.1,20.4,75,135,0.556,140,214,0.654,0,0,0.0,8.9,1.0,63.1,Sr,10-Jun,34,2.67827,125.449,5.6,2010,827,all,76.6,0.28333427,105.0,143.0,35.0,71.0,0.7343,0.493,40.0,42.0,0.9524,32.0,92.6265,87.7332,2.53615,142.338,8.09001,3.96504,4.12497,6.99774,19.0588,4.17635,2.8214,2.9706,2.8824,5.8529,0.5,0.3529,1.8529,10.4412,C,0.0
4862,Will Foster,Gonzaga,WCC,28,15.2,93.5,16.7,65.8,55.73,9.8,13.1,7.3,25.2,4,22,0.182,25,38,0.658,0,0,0.0,10.6,0.6,57.9,Sr,5-Jul,45,0.145179,90.3529,5.3,2010,852,all,,0.53332085,22.0,29.0,3.0,9.0,0.7586,0.3333,10.0,13.0,0.7692,,95.5764,92.2112,0.851339,41.67,4.31823,-1.34087,5.6591,2.52456,7.25,-1.27998,3.80454,0.5714,0.8929,1.4643,0.2857,0.0714,0.75,1.9286,C,0.0
4864,James Porter,North Carolina A&T,MEAC,30,48.3,81.6,15.8,47.5,45.73,8.3,21.2,6.3,25.7,30,77,0.39,47,99,0.475,0,0,0.0,7.1,1.0,77.8,,9-Jun,50,-0.660394,74.6538,6.3,2010,860,all,,0.42857145,43.0,76.0,4.0,23.0,0.5658,0.1739,5.0,5.0,1.0,,98.0942,102.358,1.61874,132.164,-4.65136,-6.30141,1.65005,-5.97389,19.4,-6.24248,0.268593,1.5667,3.9,5.4667,0.6,0.3333,1.3,4.1333,C,0.0
4866,Scott Grable,Elon,SC,22,19.4,92.1,18.5,53.7,58.52,6.7,17.7,11.1,31.1,24,36,0.667,22,39,0.564,0,2,0.0,0.9,1.4,87.8,Sr,9-Jun,33,0.147289,88.4074,7.6,2010,864,all,,0.54166288,13.0,15.0,9.0,24.0,0.8667,0.375,0.0,0.0,,,103.572,103.652,0.862504,46.5883,-4.14211,-4.1925,0.0503899,-4.5828,11.0,-5.04688,0.464083,0.6818,1.6818,2.3636,0.5909,0.2727,0.0909,3.0909,C,0.479637
4873,Kirill Pishchalnikov,VCU,CAA,33,19.4,93.6,20.2,38.2,45.75,16.5,17.9,4.3,23.8,25,34,0.735,26,68,0.382,0,0,0.0,2.7,1.5,50.0,Sr,8-Jun,11,0.315286,95.256,8.0,2010,891,all,,0.30430415,13.0,30.0,13.0,38.0,0.4333,0.3421,0.0,0.0,,,96.1808,95.2056,0.91786,53.8223,-2.64822,-2.31584,-0.332381,-5.59962,8.5152,-4.73921,-0.860405,1.2121,1.3636,2.5758,0.2121,0.2121,0.2424,2.3333,C,0.0
4875,Eric Boateng,Arizona St.,P10,33,68.2,105.8,19.3,66.5,64.37,11.7,21.1,7.7,25.5,58,107,0.542,117,176,0.665,0,0,0.0,3.4,1.4,60.8,Sr,10-Jun,2,2.36288,109.473,3.8,2010,894,all,89.0,0.43478886,87.0,116.0,30.0,60.0,0.75,0.5,19.0,19.0,1.0,,91.6769,88.7182,3.57598,176.65,4.51353,0.665641,3.84789,3.39582,27.2727,1.34339,2.05243,2.3939,4.8485,7.2424,0.9091,0.5758,0.7879,8.8485,C,0.0
4885,Pat Nelson,Green Bay,Horz,33,33.9,85.1,13.2,45.2,45.73,10.4,21.1,4.2,29.0,12,26,0.462,28,61,0.459,0,1,0.0,4.6,1.1,41.9,Sr,9-Jun,50,-0.361188,76.8242,5.5,2010,940,all,,0.35710076,20.0,33.0,8.0,28.0,0.6061,0.2857,4.0,4.0,1.0,,99.524,98.6462,1.31008,88.8622,-1.0721,-3.40006,2.32797,-2.45528,13.7576,-3.3532,0.897917,1.1515,2.3636,3.5152,0.303,0.2424,0.5758,2.0606,C,0.136902
