,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4792,Trevor Gaskins,Mississippi,SEC,35,34.8,93.8,21.6,42.4,45.69,4.6,10.9,18.3,22.3,30,45,0.667,26,62,0.419,27,95,0.284,0.2,2.6,28.7,So,2-Jun,23,0.71306,99.2719,5.1,2010,661,all,28.6,1.26191661,18.0,38.0,8.0,24.0,0.4737,0.3333,0.0,0.0,,,99.7515,95.6944,1.48773,91.7714,0.820023,0.856556,-0.0365336,-0.287253,14.1143,-1.05115,0.763895,0.6,1.4857,2.0857,1.5143,0.6571,0.0286,4.6571,Combo G,10.8697
4799,Donald Sloan,Texas A&M,B12,33,82.9,107.8,27.0,49.3,55.19,2.3,9.8,16.6,15.6,156,199,0.784,148,312,0.474,46,128,0.359,0.2,1.2,45.2,Sr,3-Jun,15,4.41724,122.914,1.9,2010,672,all,84.8,0.96154174,71.0,109.0,77.0,203.0,0.6514,0.3793,4.0,5.0,0.8,,100.813,93.6834,3.77464,166.602,4.35958,3.77043,0.589155,6.46723,33.3939,5.39417,1.07305,0.6667,2.8788,3.5455,2.2727,0.6667,0.0606,17.8788,Combo G,6.89734
4800,Michael Hunter,UC Irvine,BW,30,74.1,104.2,23.9,50.8,55.44,0.9,8.6,17.7,18.1,77,89,0.865,56,115,0.487,72,208,0.346,0.2,2.7,27.6,Sr,10-May,5,2.23355,106.219,2.2,2010,680,all,,1.07938102,34.0,51.0,22.0,64.0,0.6667,0.3438,0.0,0.0,,,107.108,108.447,1.85744,146.815,-0.465207,2.32009,-2.7853,1.17918,29.7667,2.36116,-1.18198,0.2333,2.0667,2.3,2.2667,1.3333,0.0667,13.5,Combo G,14.2806
4817,Gary Wallace,Robert Morris,NEC,35,47.3,106.6,15.8,50.8,58.21,3.4,7.9,9.7,21.7,68,88,0.773,33,73,0.452,22,57,0.386,0.2,2.0,67.7,Jr,3-Jun,14,0.861384,97.6363,5.6,2010,722,all,,0.82051513,16.0,28.0,17.0,45.0,0.5714,0.3778,0.0,0.0,,,100.713,105.073,1.40586,106.725,-0.746664,-0.0576999,-0.688964,-1.57049,18.9714,-1.80848,0.237993,0.5429,1.2857,1.8286,0.9143,0.6286,0.0286,5.7143,Combo G,5.00739
4824,Charoy Bentley,Saint Joseph's,A10,26,15.8,87.5,19.2,47.3,47.09,2.8,7.3,17.1,20.8,6,14,0.429,13,24,0.542,9,32,0.281,0.0,2.9,25.0,Jr,11-May,11,0.139008,89.8157,4.4,2010,758,all,17.8,1.14280409,8.0,12.0,5.0,12.0,0.6667,0.4167,0.0,0.0,,,107.084,102.923,0.617219,33.6365,-2.4784,-1.15944,-1.31896,-1.91194,7.6154,-1.94141,0.0294744,0.1923,0.5,0.6923,0.6154,0.3846,0.0,2.2692,Combo G,9.15622
4834,Eric Vianney,Tulane,CUSA,25,28.4,92.9,15.6,50.0,52.29,1.7,13.0,17.4,26.0,14,22,0.636,8,15,0.533,17,52,0.327,0.3,3.9,32.8,Sr,2-Jun,24,0.144297,87.5597,4.8,2010,778,all,,1.17391307,6.0,11.0,2.0,4.0,0.5455,0.5,0.0,0.0,,,97.9974,96.3806,1.42287,67.0178,0.90245,-0.786864,1.68931,-0.414584,13.68,-2.78839,2.37381,0.2,1.4,1.6,1.08,0.88,0.04,3.24,Combo G,9.15828
4842,Porter Braswell,Yale,Ivy,30,61.8,99.1,15.0,46.4,52.7,1.9,10.3,19.0,23.9,49,63,0.778,34,69,0.493,20,69,0.29,0.0,2.0,45.7,Jr,Jun-00,4,0.437345,89.6012,2.7,2010,792,all,,1.5333333,22.0,40.0,12.0,29.0,0.55,0.4138,0.0,0.0,,,105.571,108.803,1.51905,117.766,-2.1623,-0.669869,-1.49243,-2.64841,24.8333,-1.97861,-0.669808,0.4,2.1667,2.5667,2.3,0.8333,0.0,5.9,Combo G,5.49426
4843,Ben Louis,James Madison,CAA,33,67.8,90.6,14.5,46.6,47.42,3.2,9.6,17.6,25.8,17,31,0.548,60,120,0.5,14,54,0.259,1.3,3.4,17.8,Jr,3-Jun,14,-0.142706,82.9884,4.5,2010,796,all,,1.43854573,40.0,63.0,18.0,51.0,0.6349,0.3529,1.0,1.0,1.0,,101.72,102.122,2.29467,168.936,-0.784908,-1.5347,0.749789,-2.48899,27.1212,-3.86249,1.3735,0.7273,2.4242,3.1515,2.4848,1.5455,0.3636,5.4242,Combo G,3.55423
4847,Antoine Perry,Norfolk St.,MEAC,25,17.6,46.4,11.7,20.8,20.43,2.2,4.3,15.9,50.1,0,1,0.0,5,19,0.263,0,5,0.0,0.5,1.8,4.2,Sr,Jun-00,14,-1.3376,39.2337,5.0,2010,820,all,,0.91304343,3.0,7.0,2.0,12.0,0.4286,0.1667,0.0,0.0,,,107.002,112.38,0.417331,31.562,-10.8608,-8.29494,-2.56587,-11.054,8.6,-8.58335,-2.4706,0.16,0.36,0.52,0.84,0.28,0.04,0.4,Combo G,1.273
4849,Nick Walsh,Manhattan,MAAC,29,19.0,78.8,19.6,36.2,40.16,0.4,6.7,10.2,20.3,11,13,0.846,8,29,0.276,13,47,0.277,0.5,2.0,17.1,Jr,9-May,15,-0.179376,78.1521,2.0,2010,824,all,,0.75004532,1.0,6.0,7.0,23.0,0.1667,0.3043,0.0,0.0,,,103.539,105.544,0.591868,35.208,-6.19284,-3.82694,-2.36591,-4.42185,8.1724,-3.02621,-1.39564,0.0345,0.4828,0.5172,0.4138,0.2759,0.0345,2.2759,Combo G,11.7068
4856,Doneal Mack,Memphis,CUSA,34,70.9,117.8,16.6,55.1,57.09,1.8,6.2,11.4,10.3,43,59,0.729,61,118,0.517,63,164,0.384,1.7,1.6,20.9,Sr,5-Jun,20,2.9173,114.157,3.4,2010,837,all,87.4,1.96429873,48.0,72.0,13.0,46.0,0.6667,0.2826,12.0,15.0,0.8,,103.44,100.832,2.52582,133.646,3.24566,4.03839,-0.792731,3.01883,28.3529,2.99164,0.0271982,0.4118,1.5,1.9118,1.6176,0.7647,0.4706,10.4118,Combo G,10.0728
4857,Justin Mason,Texas,B12,33,45.7,96.1,12.8,42.6,44.68,4.2,6.8,14.2,21.5,27,53,0.509,40,91,0.44,4,17,0.235,1.5,2.5,49.1,Sr,2-Jun,24,0.369969,90.171,3.2,2010,838,all,83.0,1.84376612,31.0,55.0,9.0,36.0,0.5636,0.25,4.0,4.0,1.0,,97.4169,92.2402,2.23725,112.187,3.83556,1.1351,2.70046,2.71263,19.0303,-0.49054,3.20317,0.7576,1.2727,2.0303,1.7879,0.8788,0.303,3.6061,Combo G,1.45338
4868,Milan Prodanovic,Iona,MAAC,29,28.0,94.4,15.4,47.7,50.16,2.3,8.0,7.8,19.1,10,12,0.833,7,19,0.368,23,68,0.338,0.0,2.1,13.8,Sr,2-Jun,11,0.158007,88.3157,3.7,2010,870,all,,0.76475606,107.0,151.0,13.0,35.0,0.7086,0.3714,18.0,19.0,0.9474,,96.3348,97.0964,1.21931,56.1486,0.543194,-0.391173,0.934367,-0.18287,12.0,-1.27146,1.08859,0.2414,0.8276,1.069,0.4483,0.4138,0.0,3.2069,Combo G,11.7077
4876,Cameron Rundles,Wofford,SC,34,51.3,103.1,18.9,46.7,51.89,3.3,11.5,14.2,16.6,72,111,0.649,37,94,0.394,27,72,0.375,0.3,1.8,66.9,Jr,1-Jun,1,1.13855,100.5,2.7,2010,897,all,40.2,1.36116362,22.0,46.0,15.0,47.0,0.4783,0.3191,0.0,0.0,,,96.534,96.5312,2.1335,115.703,1.94335,0.775408,1.16794,1.81462,20.5882,0.453435,1.36119,0.5882,2.0,2.5882,1.4412,0.5882,0.0588,6.6765,Combo G,6.26373
