,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
5344,Mike Evanovich,Fairfield,MAAC,34,48.3,127.5,16.7,64.4,65.34,3.3,14.7,20.8,16.9,24,33,0.727,19,43,0.442,65,138,0.471,2.2,1.2,18.2,Sr,8-Jun,41,2.48131,121.547,3.5,2010,2363,all,42.6,2.15618367,13.0,20.0,6.0,23.0,0.65,0.2609,0.0,0.0,,,100.666,102.748,1.5914,112.942,4.96013,5.19708,-0.236946,6.85302,19.5882,6.25656,0.596459,0.5882,2.5,3.0882,2.0294,0.3824,0.4118,7.5588,Stretch 4,12.219
5362,Kyle Vejraska,Campbell,ASun,28,42.8,90.5,23.0,44.3,47.96,7.2,13.3,5.7,20.1,34,48,0.708,49,122,0.402,17,46,0.37,6.2,1.4,28.6,Sr,8-Jun,1,0.412841,91.4594,5.0,2010,2415,all,,0.32435296,41.0,71.0,8.0,51.0,0.5775,0.1569,5.0,6.0,0.8333,,98.0303,100.94,1.51754,83.502,-2.99129,-3.82658,0.835287,-3.97756,17.1071,-3.09428,-0.883285,1.0,1.75,2.75,0.4286,0.3929,0.7857,6.5357,Stretch 4,5.75246
5363,Sam Phippen,UC Santa Barbara,BW,21,15.9,83.3,14.7,51.4,52.09,2.7,22.2,5.9,28.0,5,9,0.556,13,23,0.565,4,14,0.286,0.7,0.3,24.3,Jr,9-Jun,15,-0.250727,76.3028,4.8,2010,2419,all,8.4,0.38465267,5.0,9.0,8.0,14.0,0.5556,0.5714,1.0,1.0,1.0,,97.4418,96.3654,0.921331,34.7889,-5.08389,-4.77659,-0.307303,-5.19993,8.8095,-4.82911,-0.370826,0.1905,1.7143,1.9048,0.2381,0.0476,0.0476,2.0476,Stretch 4,4.43551
5397,Matthew Brunell,Eastern Washington,BSky,24,28.2,80.2,15.6,41.8,45.93,6.2,12.5,10.9,30.8,15,24,0.625,14,41,0.341,6,14,0.429,3.3,1.1,43.6,Sr,8-Jun,32,-0.523093,73.1042,6.3,2010,2498,all,,0.66666667,10.0,21.0,4.0,20.0,0.4762,0.2,0.0,1.0,0.0,,108.567,106.761,0.905927,54.7964,-3.53656,-4.45146,0.914902,-5.12195,13.2917,-5.07567,-0.046279,0.75,1.3333,2.0833,0.75,0.25,0.4167,2.5417,Stretch 4,2.49943
5479,J.T. Durley,Wichita St.,MVC,34,63.2,104.5,23.7,52.8,58.08,7.4,16.8,8.9,21.7,96,123,0.78,105,200,0.525,24,67,0.358,3.0,1.3,46.1,Jr,7-Jun,31,2.30411,110.792,4.5,2010,2786,all,,0.47223272,55.0,73.0,50.0,127.0,0.7534,0.3937,8.0,8.0,1.0,,96.9812,94.0954,2.88917,150.214,2.13661,0.757462,1.37915,2.27099,25.3529,1.44835,0.822636,1.5,3.3824,4.8824,1.0,0.5294,0.6471,11.1176,Stretch 4,4.80668
5480,Keaton Nankivil,Wisconsin,B10,33,62.1,118.0,18.6,55.1,57.6,10.3,14.2,8.7,13.0,40,54,0.741,78,131,0.595,24,76,0.316,3.9,1.7,26.1,Jr,8-Jun,52,3.10104,120.479,3.9,2010,2787,all,83.0,1.099989,37.0,48.0,41.0,83.0,0.7708,0.494,17.0,20.0,0.85,,93.8234,88.1787,3.30379,141.13,7.83276,4.21904,3.61372,6.15961,25.0303,3.48109,2.67851,2.0606,2.6667,4.7273,1.0,0.6364,0.8788,8.1212,Stretch 4,6.13794
5490,Matt Clark,The Citadel,SC,9,13.2,80.1,11.7,30.0,29.05,9.2,9.6,11.3,21.7,1,5,0.2,3,10,0.3,2,10,0.2,2.4,1.7,25.0,Jr,8-Jun,45,-0.889576,69.9937,2.0,2010,2824,all,,1.49992499,2.0,6.0,1.0,4.0,0.3333,0.25,0.0,0.0,,,102.975,101.672,1.52234,24.2361,-1.47232,-3.07044,1.59813,-2.83841,17.6667,-2.56135,-0.277066,1.3333,1.3333,2.6667,1.0,0.4444,0.3333,1.4444,Stretch 4,4.22288
5498,Nick Winbush,Miami OH,MAC,32,64.6,117.3,18.4,55.6,58.42,4.9,16.9,6.9,10.1,40,47,0.851,51,100,0.51,56,143,0.392,4.3,1.2,19.3,Jr,7-Jun,20,2.84993,116.311,4.3,2010,2859,all,34.6,0.95840001,32.0,52.0,19.0,48.0,0.6154,0.3958,4.0,4.0,1.0,,100.576,98.4799,2.51113,145.675,3.87739,2.99216,0.885236,4.43486,26.125,3.61408,0.820775,0.9688,3.7188,4.6875,0.7188,0.4688,1.0,9.6875,Stretch 4,11.1284
5510,Jamelle Horne,Arizona,P10,30,69.0,102.1,17.2,55.7,56.18,4.7,17.6,8.8,20.2,27,46,0.587,53,115,0.461,50,115,0.435,3.5,1.3,20.0,Jr,7-Jun,42,1.86913,103.336,3.9,2010,2886,all,94.6,0.69232105,21.0,33.0,32.0,82.0,0.6364,0.3902,7.0,8.0,0.875,,100.952,95.4481,3.08256,169.43,4.3667,1.64538,2.72132,3.80159,29.2,2.16081,1.64078,1.1,4.5,5.6,1.2,0.6667,1.0,9.4333,Stretch 4,7.66784
5532,Radar Onguetou,New Hampshire,AE,29,66.2,95.7,12.3,41.2,44.13,8.8,14.9,2.7,14.2,29,50,0.58,32,71,0.451,16,65,0.246,0.4,0.7,36.8,Jr,5-Jun,32,-0.129136,83.0984,3.9,2010,2997,all,,0.40904297,17.0,34.0,15.0,37.0,0.5,0.4054,0.0,0.0,,,98.3688,102.348,2.21807,127.162,-2.05536,-2.07899,0.0236329,-3.09852,26.6897,-2.91866,-0.179865,2.2069,3.2414,5.4483,0.3103,0.3103,0.1034,4.8621,Stretch 4,5.17008
5540,Anthony Wright,Michigan,B10,27,18.2,73.2,15.5,37.2,36.86,4.2,11.9,12.3,27.5,0,1,0.0,4,14,0.286,9,33,0.273,1.5,1.1,2.1,Jr,6-Jun,12,-0.374726,71.6572,2.5,2010,3024,all,45.0,0.93322531,1.0,2.0,3.0,12.0,0.5,0.25,0.0,0.0,,,102.063,96.004,0.889622,33.7456,-3.84746,-4.53765,0.69019,-2.88927,8.4444,-3.37595,0.486684,0.2963,0.7778,1.0741,0.5185,0.1481,0.1111,1.2963,Stretch 4,9.38385
5563,Justin Harper,Richmond,A10,35,61.1,108.9,22.5,55.5,57.22,8.0,16.8,9.0,15.0,49,72,0.681,98,168,0.583,42,122,0.344,3.8,1.9,24.8,Jr,10-Jun,32,2.64111,115.638,3.8,2010,3094,all,,0.72918186,65.0,91.0,33.0,77.0,0.7143,0.4286,10.0,11.0,0.9091,32.0,92.7292,89.8616,3.10855,171.476,5.1067,2.99193,2.11477,4.89833,24.9714,3.59247,1.30586,1.6286,3.7714,5.4,1.0,0.7714,0.8857,10.6,Stretch 4,8.56963
