,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4897,Sharaud Curry,Providence,BE,31,79.4,117.7,21.5,48.9,55.74,2.2,4.4,18.2,16.5,126,144,0.875,88,190,0.463,60,174,0.345,0.1,2.0,39.6,Sr,10-May,4,4.44853,124.851,2.3,2010,982,all,49.8,1.6153662,52.0,94.0,36.0,95.0,0.5532,0.3789,0.0,0.0,,,115.675,109.194,1.90869,133.74,2.14197,4.99158,-2.84961,3.15318,31.9032,4.57599,-1.42281,0.7097,1.2903,2.0,3.3871,1.1613,0.0323,15.5484,Scoring PG,9.49573
4921,Gary Correia,Massachusetts,A10,31,46.9,87.2,10.2,34.8,35.73,1.4,8.2,19.5,24.7,5,10,0.5,7,30,0.233,16,59,0.271,0.5,1.0,11.2,Jr,1-Jun,11,-0.56231,75.8631,2.9,2010,1061,all,,2.50005973,6.0,17.0,1.0,13.0,0.3529,0.0769,0.0,0.0,,,110.556,106.451,1.30488,84.6775,-3.12651,-2.04715,-1.07936,-3.92666,18.9032,-3.62661,-0.300053,0.2581,1.4516,1.7097,2.0968,0.3226,0.0968,2.1613,Scoring PG,5.73104
4934,Diante Garrett,Iowa St.,B12,32,77.8,99.6,19.3,47.5,50.48,1.4,7.1,30.8,24.0,50,72,0.694,94,204,0.461,19,54,0.352,0.7,2.3,27.9,Jr,4-Jun,10,1.87701,101.876,2.5,2010,1080,all,64.2,2.0,52.0,71.0,42.0,133.0,0.7324,0.3158,0.0,0.0,,,102.631,96.0383,3.29191,170.219,1.66331,1.01235,0.650956,1.8987,31.625,0.2859,1.6128,0.4062,2.125,2.5312,5.125,1.25,0.2188,9.2188,Scoring PG,3.04999
4942,Jeff Jordan,Illinois,B10,33,31.1,96.0,11.0,46.0,47.49,4.2,6.7,20.3,31.1,6,10,0.6,20,42,0.476,2,8,0.25,0.8,1.7,20.0,Jr,1-Jun,13,0.165441,88.0228,2.8,2010,1090,all,,2.15382674,7.0,10.0,13.0,32.0,0.7,0.4063,1.0,1.0,1.0,,103.034,96.4344,1.4141,69.3031,0.0459586,-1.19886,1.24482,0.359855,13.7576,-1.72455,2.0844,0.4848,0.8485,1.3333,1.697,0.3939,0.0909,1.5758,Scoring PG,1.05312
4943,Alex Rubin,Illinois St.,MVC,33,67.1,112.4,10.3,48.6,50.87,0.8,6.3,14.5,13.9,21,30,0.7,7,29,0.241,42,115,0.365,0.3,2.4,20.8,Jr,1-Jun,3,1.24522,97.8759,2.7,2010,1092,all,,3.33312404,1.0,3.0,6.0,26.0,0.3333,0.2308,0.0,0.0,,,102.032,100.629,2.40976,136.356,2.36563,1.78241,0.583227,1.70824,26.9394,-0.275637,1.98387,0.1818,1.3939,1.5758,2.1212,1.0606,0.0606,4.8788,Scoring PG,7.84618
4946,Bakari Lewis,UMKC,Sum,27,61.4,91.9,23.3,42.4,47.23,3.2,11.9,23.6,21.5,51,67,0.761,46,131,0.351,31,87,0.356,1.0,2.3,30.7,Jr,1-Jun,,0.813799,93.7085,4.8,2010,1095,all,,1.25864727,18.0,43.0,28.0,88.0,0.4186,0.3182,1.0,2.0,0.5,,107.453,110.122,1.44854,117.086,-2.89986,-0.954166,-1.9457,-3.16795,25.4815,-1.4993,-1.66865,0.7037,2.2222,2.9259,2.7037,0.963,0.2222,8.7407,Scoring PG,7.52873
4947,Brian Rudolph,Loyola MD,MAAC,29,65.4,96.0,19.5,42.0,50.76,2.9,9.1,28.4,27.0,79,107,0.738,57,135,0.422,6,22,0.273,0.1,2.1,68.2,Jr,11-May,31,1.02681,95.4418,2.9,2010,1097,all,,1.5507501,45.0,96.0,12.0,39.0,0.4688,0.3077,0.0,1.0,0.0,,102.015,105.7,1.95326,124.138,-2.44436,-0.783774,-1.66059,-2.51268,27.1724,-1.42573,-1.08695,0.6552,2.2414,2.8966,3.6897,0.9655,0.0345,7.2759,Scoring PG,1.67778
4970,Brandon Johnson,San Diego,WCC,28,75.1,98.6,27.6,43.8,50.19,1.3,9.3,26.5,17.4,109,140,0.779,64,162,0.395,54,169,0.32,0.0,3.7,42.3,Sr,Jun-00,1,2.7006,108.692,1.9,2010,1198,all,,1.35716,23.0,50.0,41.0,112.0,0.46,0.3661,0.0,0.0,,,102.865,99.6861,2.99442,155.784,2.75431,2.75525,-0.000931948,2.88849,32.4643,2.06344,0.825056,0.3571,2.2857,2.6429,3.3929,1.8929,0.0,14.25,Scoring PG,11.6355
4988,Brigham Waginger,Western Carolina,SC,31,88.1,107.7,15.1,53.5,53.78,2.6,10.5,22.6,22.3,30,56,0.536,39,71,0.549,56,159,0.352,0.2,4.5,24.3,Sr,2-Jun,13,1.76108,98.9123,3.0,2010,1254,all,,2.13844901,24.0,35.0,15.0,36.0,0.6857,0.4167,0.0,0.0,,,99.5625,99.7578,3.26937,222.985,4.48811,2.99398,1.49414,3.22532,35.2258,0.805395,2.41992,0.8387,2.9677,3.8065,4.4839,2.7742,0.0645,8.9032,Scoring PG,8.23303
4990,David Cubillan,Marquette,BE,34,77.2,120.2,11.6,59.5,60.66,1.4,6.2,16.0,17.2,18,24,0.75,33,60,0.55,49,119,0.412,0.1,1.6,13.4,Sr,Jun-00,10,2.68726,109.592,2.2,2010,1258,all,,2.73530006,21.0,32.0,12.0,28.0,0.6563,0.4286,0.0,0.0,,,104.269,98.4881,3.00107,142.657,4.30288,3.35992,0.94296,3.44232,31.3235,1.97195,1.47037,0.3529,1.5294,1.8824,2.7353,0.8235,0.0294,6.7941,Scoring PG,6.96389
